Group;Key;Text;codeEL;codeNT;codePython;codePRT
Month and Quarter;NotJun;Not June;month(date) <> 6;Time[0].Month != 6;get_datetime().month != 6;month <> 6
Month and Quarter;NotJul;Not July;month(date) <> 7;Time[0].Month != 7;get_datetime().month != 7;month <> 7
Month and Quarter;NotAug;Not August;month(date) <> 8;Time[0].Month != 8;get_datetime().month != 8;month <> 8
Month and Quarter;NotSep;Not September;month(date) <> 9;Time[0].Month != 9;get_datetime().month != 9;month <> 9
Month and Quarter;NotOct;Not October;month(date) <> 10;Time[0].Month != 10;get_datetime().month != 10;month <> 10
Month and Quarter;NotNov;Not November;month(date) <> 11;Time[0].Month != 11;get_datetime().month != 11;month <> 11
Month and Quarter;NotDec;Not December;month(date) <> 12;Time[0].Month != 12;get_datetime().month != 12;month <> 12
Month and Quarter;Q1;Quarter 1;month(date) <= 3;Time[0].Month <= 3;get_datetime().month <= 3;month <= 3
Month and Quarter;Q2;Quarter 2;month(date) > 3 and month(date) <= 6;Time[0].Month > 3 && Time[0].Month <= 6;get_datetime().month > 3 and get_datetime().month <= 6;month > 3 and month <= 6
Month and Quarter;Q3;Quarter 3;month(date) > 6 and month(date) <= 9;Time[0].Month > 6 && Time[0].Month <= 9;get_datetime().month > 6 and get_datetime().month <= 9;month > 6 and month <= 9
Month and Quarter;Q4;Quarter 4;month(date) >= 10;Time[0].Month >= 10;get_datetime().month >= 10;month >= 10
Month and Quarter;notQ1;Not Quarter 1;month(date) > 3;Time[0].Month > 3;get_datetime().month > 3;month > 3
Month and Quarter;notQ2;Not Quarter 2;(month(date) <= 3 or month(date) >= 7);(Time[0].Month <= 3 || Time[0].Month >= 7);(get_datetime().month <= 3 or get_datetime().month >= 7);(month <= 3 or month >= 7)
Month and Quarter;notQ3;Not Quarter 3;(month(date) <= 6 or month(date) >= 10);(Time[0].Month <= 6 || Time[0].Month >= 10);(get_datetime().month <= 6 or get_datetime().month >= 10);(month <= 6 or month >= 10)
Month and Quarter;notQ4;Not Quarter 4;month(date) < 10;Time[0].Month < 10;get_datetime().month < 10;month < 10
Time;Time0-100;;Time[0] >= 0 and Time[0] <= 100;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 10000;;Time[0] >= 00 and Time[0] <= 10000
Time;Time0-200;;Time[0] >= 0 and Time[0] <= 200;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 20000;;Time[0] >= 00 and Time[0] <= 20000
Time;Time0-300;;Time[0] >= 0 and Time[0] <= 300;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 30000;;Time[0] >= 00 and Time[0] <= 30000
Time;Time0-400;;Time[0] >= 0 and Time[0] <= 400;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 40000;;Time[0] >= 00 and Time[0] <= 40000
Time;Time0-500;;Time[0] >= 0 and Time[0] <= 500;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 50000;;Time[0] >= 00 and Time[0] <= 50000
Time;Time0-600;;Time[0] >= 0 and Time[0] <= 600;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 60000;;Time[0] >= 00 and Time[0] <= 60000
Time;Time0-700;;Time[0] >= 0 and Time[0] <= 700;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 70000;;Time[0] >= 00 and Time[0] <= 70000
Time;Time0-800;;Time[0] >= 0 and Time[0] <= 800;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 80000;;Time[0] >= 00 and Time[0] <= 80000
Time;Time0-900;;Time[0] >= 0 and Time[0] <= 900;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 90000;;Time[0] >= 00 and Time[0] <= 90000
Time;Time0-1000;;Time[0] >= 0 and Time[0] <= 1000;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 100000;;Time[0] >= 00 and Time[0] <= 100000
Time;Time0-1100;;Time[0] >= 0 and Time[0] <= 1100;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 110000;;Time[0] >= 00 and Time[0] <= 110000
Time;Time0-1200;;Time[0] >= 0 and Time[0] <= 1200;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 120000;;Time[0] >= 00 and Time[0] <= 120000
Time;Time0-1300;;Time[0] >= 0 and Time[0] <= 1300;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 130000;;Time[0] >= 00 and Time[0] <= 130000
Time;Time0-1400;;Time[0] >= 0 and Time[0] <= 1400;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 140000;;Time[0] >= 00 and Time[0] <= 140000
Time;Time0-1500;;Time[0] >= 0 and Time[0] <= 1500;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 150000;;Time[0] >= 00 and Time[0] <= 150000
Time;Time0-1600;;Time[0] >= 0 and Time[0] <= 1600;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 160000;;Time[0] >= 00 and Time[0] <= 160000
Time;Time0-1700;;Time[0] >= 0 and Time[0] <= 1700;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 170000;;Time[0] >= 00 and Time[0] <= 170000
